Field1,X,Y,Z
13478,586289.342,4474987.161,3.681
13479,586287.791,4474987.265,3.652
13480,586286.268,4474987.572,3.681
13481,586284.82,4474987.989,3.679
13482,586283.455,4474988.464,3.699
13483,586282.122,4474988.839,3.671
13484,586280.62,4474989.041,3.682
13485,586279.143,4474989.087,3.693
13486,586277.697,4474989.106,3.684
13487,586276.241,4474989.058,3.663
13488,586274.796,4474989.095,3.64
13489,586273.255,4474989.27,3.625
13490,586271.736,4474989.49,3.604
13491,586270.295,4474989.497,3.58
13492,586268.758,4474989.489,3.562
13493,586267.202,4474989.387,3.61
13494,586265.923,4474989.302,3.583
13495,586264.551,4474989.226,3.572
13496,586263.132,4474989.218,3.566
13497,586261.705,4474989.391,3.567
13498,586260.285,4474989.458,3.548
13499,586258.955,4474989.683,3.552
13500,586257.673,4474989.979,3.562
13501,586256.407,4474990.25,3.544
13502,586255.124,4474990.367,3.49
13503,586253.78,4474990.541,3.514
13504,586252.528,4474990.75,3.541
13505,586251.223,4474991.004,3.571
13506,586249.837,4474991.113,3.508
13507,586248.339,4474991.139,3.51
13552,586246.102,4475018.161,3.382
13553,586247.216,4475017.825,3.422
13554,586248.318,4475017.444,3.403
13555,586249.307,4475016.987,3.42
13556,586250.451,4475016.508,3.394
13557,586251.522,4475016.266,3.423
13558,586252.61,4475016.053,3.484
13559,586253.832,4475015.899,3.435
13560,586254.88,4475015.809,3.423
13561,586256.141,4475015.83,3.376
13562,586257.369,4475015.745,3.397
13563,586258.529,4475015.706,3.462
13564,586259.728,4475015.608,3.469
13565,586260.984,4475015.493,3.485
13566,586262.639,4475015.513,3.486
13567,586265.487,4475015.288,3.556
13568,586266.892,4475015.176,3.492
13569,586268.232,4475015.164,3.512
13570,586269.441,4475015.19,3.532
13571,586270.761,4475015.225,3.529
13572,586272.062,4475015.357,3.54
13573,586273.453,4475015.375,3.542
13574,586274.775,4475015.386,3.541
13575,586276.012,4475015.536,3.53
13576,586277.29,4475015.623,3.556
13577,586278.6,4475015.719,3.529
13578,586279.921,4475015.798,3.521
13579,586281.201,4475016.007,3.536
13580,586282.5,4475016.231,3.528
13581,586283.866,4475016.396,3.519
13582,586285.361,4475016.544,3.536
13583,586286.545,4475016.669,3.586
13584,586288.007,4475016.756,3.553
13585,586289.363,4475016.885,3.594
13586,586290.785,4475017.022,3.573
13587,586292.207,4475017.103,3.574
13588,586293.618,4475017.23,3.559
13589,586294.954,4475017.272,3.556
13590,586296.304,4475017.392,3.595
13591,586297.635,4475017.445,3.549
