ID,X,Y,Z
100261,586237.433,4475875.336,2.511
100262,586237.695,4475875.508,2.499
100263,586237.999,4475875.689,2.475
100264,586238.49,4475875.793,2.416
100265,586239.089,4475875.939,2.346
100266,586239.813,4475876.004,2.266
100267,586240.685,4475875.79,2.174
100268,586241.622,4475875.802,2.079
100269,586242.596,4475875.662,2.023
100270,586243.577,4475875.507,1.949
100271,586244.53,4475875.333,1.889
100272,586245.591,4475875.155,1.821
100273,586246.583,4475875.091,1.764
100274,586247.569,4475875.045,1.715
100275,586248.544,4475874.988,1.668
100276,586249.501,4475874.999,1.643
100277,586250.494,4475874.972,1.587
100278,586251.532,4475874.944,1.581
100279,586252.39,4475875.028,1.59
100280,586253.294,4475875.02,1.587
100281,586254.02,4475875.025,1.635
100282,586254.827,4475875.113,1.686
100283,586255.826,4475875.165,1.75
100284,586256.836,4475875.364,1.744
100285,586257.753,4475875.455,1.81
100286,586258.695,4475875.526,1.857
100287,586259.573,4475875.59,1.811
100288,586260.267,4475875.65,1.918
100289,586261.02,4475875.704,1.91
100290,586261.767,4475875.767,1.919
100291,586262.534,4475875.752,1.933
100292,586263.383,4475875.739,1.982
100293,586264.258,4475875.666,2.045
100294,586265.177,4475875.496,2.147
100295,586266.044,4475875.409,2.19
100296,586267.047,4475875.253,2.27
100297,586267.879,4475875.169,2.32
100298,586268.766,4475875.152,2.377
100299,586269.623,4475875.191,2.354
100300,586270.512,4475875.152,2.403
100301,586271.315,4475875.125,2.415
100302,586272.191,4475875.154,2.458
100303,586273.088,4475875.125,2.483
100304,586274.051,4475875.165,2.529
100305,586275.056,4475875.193,2.587
100306,586276.012,4475875.245,2.635
100307,586276.913,4475875.254,2.66
100308,586277.694,4475875.311,2.705
100309,586278.606,4475875.316,2.684
100310,586279.555,4475875.28,2.689
100311,586280.494,4475875.291,2.725
100312,586281.568,4475875.37,2.692
100313,586282.624,4475875.439,2.709
100314,586283.607,4475875.381,2.699
100315,586284.452,4475875.351,2.731
100316,586285.332,4475875.257,2.737
100317,586286.245,4475875.095,2.746
100318,586287.177,4475875.035,2.735
100319,586288.093,4475875.009,2.722
100320,586289.119,4475875.007,2.699
100321,586290.128,4475874.956,2.701
100322,586291.027,4475874.869,2.667
100323,586291.935,4475874.776,2.641
100324,586292.88,4475874.813,2.591
100325,586293.762,4475874.93,2.553
100326,586294.559,4475875.037,2.497
100327,586295.392,4475875.155,2.444
100328,586296.171,4475875.258,2.377
100329,586297.06,4475875.364,2.31
100330,586297.906,4475875.487,2.237
100331,586298.699,4475875.537,2.181
100332,586299.576,4475875.611,2.11
100333,586300.527,4475875.648,2.042
100334,586301.509,4475875.719,1.96
100335,586302.424,4475875.82,1.878
100336,586303.379,4475875.912,1.794
100337,586304.272,4475875.957,1.693
100338,586305.17,4475876.005,1.594
100339,586306.044,4475875.939,1.492
100340,586306.982,4475875.897,1.39
100341,586307.861,4475875.912,1.287
100342,586308.742,4475875.737,1.186
100343,586309.576,4475875.639,1.11
100344,586310.497,4475875.556,1.01
100345,586311.465,4475875.424,0.914
100346,586312.413,4475875.322,0.818
100347,586313.314,4475875.181,0.716
100348,586314.41,4475875.013,0.6
100349,586315.385,4475874.854,0.487
100350,586316.521,4475874.809,0.358
100351,586317.512,4475874.674,0.243
100352,586318.585,4475874.562,0.112
100353,586319.687,4475874.48,-0.015
100354,586320.598,4475874.496,-0.118
100355,586321.589,4475874.524,-0.22
100356,586322.47,4475874.659,-0.333
100357,586323.403,4475874.821,-0.426
100358,586324.325,4475874.999,-0.538
100359,586325.223,4475875.264,-0.634
100360,586326.165,4475875.505,-0.73
